mode;alpha;beta;evaporation;group_size;elite_weight;best_value;best_iteration
AC;0.75;2.0;0.5;100;1.0;1005453;69
AC;0.75;2.0;0.8;20;1.0;1005415;87
AC;0.75;2.0;0.5;100;1.0;1005244;67
AC;0.75;2.0;0.5;100;1.0;1005593;68
AC;0.75;2.0;0.8;20;1.0;1005043;42
AC;0.75;2.0;0.8;20;1.0;1005403;72
AC;0.75;2.0;0.8;20;1.0;1005648;150
AC;0.75;2.0;0.8;20;1.0;1005785;133
AC;0.75;2.0;0.8;50;1.0;1005050;27
AC;0.75;2.0;0.8;50;1.0;1005534;45
AC;0.75;2.0;0.5;100;1.0;1005587;156
AC;0.75;2.0;0.8;50;1.0;1005277;61
AC;0.75;2.0;0.8;50;1.0;1005563;153
AC;0.75;2.0;0.8;50;1.0;1005396;96
AC;0.75;2.0;0.8;50;1.0;1006153;172
AC;0.75;2.0;0.8;100;1.0;1005257;25
AC;0.75;2.0;0.8;50;1.0;1005974;142
AC;0.75;2.0;0.8;100;1.0;1005312;26
AC;0.75;5.0;0.3;20;1.0;1005477;16
AC;0.75;2.0;0.8;100;1.0;1005096;48
AC;0.75;5.0;0.3;20;1.0;1005974;42
AC;0.75;5.0;0.3;20;1.0;1005848;49
AC;0.75;5.0;0.3;20;1.0;1006059;106
AC;0.75;5.0;0.3;20;1.0;1005546;13
AC;0.75;2.0;0.8;100;1.0;1005354;13
AC;0.75;5.0;0.3;20;1.0;1006031;130
AC;0.75;2.0;0.8;100;1.0;1005371;83
AC;0.75;5.0;0.3;50;1.0;1005868;1
AC;0.75;2.0;0.8;100;1.0;1005318;54
AC;0.75;5.0;0.3;20;1.0;1006217;153
AC;0.75;5.0;0.3;50;1.0;1005822;20
AC;0.75;2.0;0.8;100;1.0;1005451;89
AC;0.75;5.0;0.3;50;1.0;1005932;66
AC;0.75;5.0;0.3;50;1.0;1005692;54
AC;0.75;5.0;0.3;50;1.0;1005928;137
AC;0.75;5.0;0.3;50;1.0;1005937;50
AC;0.75;5.0;0.3;50;1.0;1005961;46
AC;0.75;5.0;0.5;20;1.0;1006081;30
AC;0.75;5.0;0.3;100;1.0;1005892;49
AC;0.75;5.0;0.3;100;1.0;1005718;21
AC;0.75;5.0;0.5;20;1.0;1006481;186
AC;0.75;5.0;0.3;100;1.0;1006005;63
AC;0.75;5.0;0.5;20;1.0;1006185;40
AC;0.75;5.0;0.3;100;1.0;1005680;40
AC;0.75;5.0;0.5;20;1.0;1006517;130
AC;0.75;5.0;0.3;100;1.0;1005849;63
AC;0.75;5.0;0.3;100;1.0;1005903;102
